"","",""
"PERSOANE CERCETATE, TRIMISE ÎN JUDECATĂ ȘI CONDAMNATE ÎN PERIOADA IANUARIE - DECEMBRIE 2021","",""
"","",""
"Persoane cercetate","10102",""
"Persoane trimise în judecată","2413",""
"Persoane condamnate","1031",""
"","",""
"PERSOANE CONDAMNATE ÎN PERIOADA IANUARIE - DECEMBRIE 2021, PE ÎNCADRARE JURIDICĂ","",""
"","",""
"Art.2 din Legea nr. 143/2000","559",""
"Art.3 din Legea nr. 143/2000","54",""
"Art.4 din Legea nr. 143/2000","354",""
"Art.7 din Legea nr. 143/2000","1",""
"Legea nr. 194/2011","63",""
"","",""
"PERSOANE CONDAMNATE ÎN PERIOADA IANUARIE - DECEMBRIE 2021, PE SEXE","",""
"","",""
"","Majori","Minori"
"Bărbați","878","4"
"Femei","146","3"
"","",""
"SITUAȚIA GRUPĂRILOR INFRACȚIONALE IDENTIFICATE ÎN PERIOADA IANUARIE - DECEMBRIE 2021","",""
"","",""
"Grupări identificate","52",""
"Număr persoane implicate în grupări","412",""
"","",""
"SITUAȚIA PEDEPSELOR APLICATE PENTRU INFRACȚIUNI LA REGIMUL DROGURILOR ÎN PERIOADA IANUARIE - DECEMBRIE 2021","",""
"","",""
"","Legea nr. 143/2000","Legea nr. 194/2011"
"Executarea pedepsei","299","35"
"Suspendarea pedepsei","482","27"
"Amendă penală","118","0"
"Amânarea executării pedepsei","69","1"
